	Min Daily	Max Daily	Mean Daily	Flux Daily	Median
29-Sep	59.099	65.273	61.76517708	6.174	61.655
30-Sep	56.469	62.362	59.67273958	5.893	59.981
1-Oct	55.038	61.804	58.27417708	6.766	58.3035
2-Oct	53.515	57.722	55.45576042	4.207	55.5365
3-Oct	52.029	54.561	52.74634375	2.532	52.597
4-Oct	51.94	54.169	52.80778125	2.229	52.3565
5-Oct	53.121	60.046	56.20719792	6.925	54.5605
6-Oct	56.251	63.048	59.00236458	6.797	58.3035
7-Oct	54.734	63.561	58.99952083	8.827	58.4545
8-Oct	55.558	60.39	57.2481875	4.832	57.247
9-Oct	51.282	61.462	56.05551042	10.18	55.0165
10-Oct	53.427	64.074	58.19360417	10.647	57.268
11-Oct	54.516	64.888	59.22794792	10.372	58.863
12-Oct	51.325	58.971	55.3303125	7.646	55.5365
13-Oct	49.428	59.83	54.29919792	10.402	53.6025
14-Oct	49.428	60.132	54.53671875	10.704	53.9725
15-Oct	49.87	57.636	53.62938542	7.766	53.4935
16-Oct	46.031	55.992	50.93765625	9.961	50.819
17-Oct	47.289	57.074	51.865125	9.785	51.325
18-Oct	47.736	58.541	52.86202083	10.805	52.05
19-Oct	52.686	61.72	56.735375	9.034	55.8195
20-Oct	54.561	61.677	57.72552083	7.116	57.1175
21-Oct	53.253	58.325	55.37221875	5.072	55.299
22-Oct	50.4	53.559	52.22077083	3.159	52.729
23-Oct	51.544	53.951	53.46384375	2.407	53.69
24-Oct	46.661	55.386	52.14159375	8.725	53.253
25-Oct	46.661	56.815	52.06987153	10.154	53.0565
26-Oct	46.661	56.815	52.20777865	10.154	52.947
27-Oct	46.661	56.815	52.17560417	10.154	52.817
28-Oct	45.806	56.815	51.63647396	11.009	51.852
29-Oct	41.878	56.815	50.76786161	14.937	50.9515
30-Oct	41.878	56.815	50.33498958	14.937	50.311
31-Oct	41.878	56.988	50.27649421	15.11	50.2455
1-Nov	41.878	56.815	50.36081667	14.937	50.223
2-Nov	41.878	56.815	50.50064489	14.937	50.356
3-Nov	41.878	56.988	50.64310938	15.11	50.4
4-Nov	49.737	53.427	51.56764583	3.69	51.6555
5-Nov	48.85	51.282	49.81357895	2.432	49.737
